First,Last,Player,Team,Season,Min,Pos,Shots,SoT,Dist,Solo,Goals,xG,xPlace,G-xG,KeyP,Dist.key,Assts,xA,A-xA,xG+xA,xG/shot,xA/pass,G-xG/shot,A-xA/pass,Team/96,Min/96,Pos/96,Shots/96,SoT/96,Goals/96,xG/96,xPlace/96,G-xG/96,KeyP/96,Assts/96,xA/96,A-xA/96,xG+xA/96,extreme1,extreme2,plotnames
Mauro,Manotas,Mauro Manotas,HOU,2018,2834,F,95,43,18.93915909,0.189473684,19,15.703,-0.085587096,3.296829385,37,21.21573095,1,4.141347561,-3.141347561,19.84451818,0.165296533,0.111928312,0.034703467,-0.084901285,HOU,2834,F,3.218066337,1.456598447,0.643613267,0.531935208,-0.00289921,0.11167806,1.253352152,0.033874382,0.140285591,-0.106411209,0.672220799,1949,1957,Manotas 2018
Zlatan,Ibrahimovic,Zlatan Ibrahimovic,LAG,2018,2287,F,117,48,19.98255465,0.307692308,22,15.78,2.2115002,6.220435173,36,20.1607314,6,3.975840802,2.024159198,19.75540563,0.134868075,0.110440022,0.053166113,0.056226644,LAG,2287,F,4.911237429,2.014866638,0.923480542,0.66236914,0.092830791,0.261111402,1.511149978,0.25185833,0.166891437,0.084966892,0.829260577,1952,1963,Ibrahimovic 2018
Clint,Dempsey,Clint Dempsey,SEA,2017,2395,A,116,39,20.80044296,0.25862069,12,14.981,-1.705859445,-2.981108249,42,20.88551816,4,4.441657947,-0.441657947,19.4227662,0.129147485,0.105753761,-0.025699209,-0.010515665,SEA,2395,A,4.649686848,1.563256785,0.481002088,0.600495362,-0.06837683,-0.119493274,1.683507307,0.160334029,0.178037229,-0.0177032,0.778532591,1945,1909,Dempsey 2017
Darwin,Quintero,Darwin Quintero,MIN,2018,2564,A,79,32,20.49298261,0.265822785,11,9.188,-0.458574131,1.812414492,76,17.2500642,12,10.07367165,1.926328353,19.26125716,0.116298551,0.132548311,0.022941956,0.025346426,MIN,2564,A,2.957878315,1.198127925,0.411856474,0.343996961,-0.017169702,0.067859513,2.845553822,0.449297972,0.377173353,0.072124619,0.721170315,1878,1895,Quintero 2018
Ola,Kamara,Ola Kamara,LAG,2018,2865,F,67,30,13.34744989,0.149253731,14,15.314,-0.983782902,-1.313519375,37,19.87432589,2,3.911396322,-1.911396322,19.2249157,0.228559991,0.105713414,-0.019604767,-0.05165936,LAG,2865,F,2.245026178,1.005235602,0.469109948,0.513123162,-0.032964453,-0.044013215,1.239790576,0.067015707,0.131062495,-0.064046788,0.644185657,1947,1934,Kamara 2018
Ignacio,Piatti,Ignacio Piatti,MTL,2018,2981,F,96,32,22.25572678,0.25,16,11.343,0.328278695,4.656607371,55,18.60322371,11,7.875327939,3.124672061,19.21872057,0.11816034,0.143187781,0.048506327,0.056812219,MTL,2981,F,3.091580007,1.030526669,0.515263334,0.365302144,0.010571873,0.14996119,1.771217712,0.354243542,0.253616733,0.100626809,0.618918878,1915,1947,Piatti 2018
Fredy,Montero,Fredy Montero,VAN,2017,2580,F,86,34,18.57458744,0.360465116,13,14.568,0.854935989,-1.567756759,36,20.1842212,6,4.544677681,1.455322319,19.11243444,0.16939252,0.126241047,-0.01822973,0.04042562,VAN,2580,F,3.2,1.265116279,0.48372093,0.542056065,0.031811572,-0.058335135,1.339534884,0.223255814,0.169104286,0.054151528,0.711160351,1941,1926,Montero 2017
Maximiliano,Moralez,Maximiliano Moralez,NYC,2018,2973,A,73,25,19.72986893,0.260273973,8,9.698,-1.010899956,-1.69787978,104,18.90177139,9,9.362515979,-0.362515979,19.06039576,0.132847668,0.090024192,-0.023258627,-0.003485731,NYC,2973,A,2.357214934,0.807265388,0.258324924,0.313150508,-0.032642582,-0.054825583,3.358224016,0.29061554,0.302321404,-0.011705864,0.615471911,1887,1811,Moralez 2018
Bradley,Wright-Phillips,Bradley Wright-Phillips,NYRB,2017,2684,F,83,33,15.63063002,0.180722892,17,15.399,1.783394776,1.600902012,31,20.93759686,1,3.339389571,-2.339389571,18.73848756,0.185531301,0.107722244,0.019287976,-0.07546418,NYRB,2684,F,2.968703428,1.180327869,0.60804769,0.550787409,0.063787593,0.057260281,1.108792846,0.035767511,0.119441654,-0.083674143,0.670229063,1948,1953,Wright-Phillips 2017
Sacha,Kljestan,Sacha Kljestan,NYRB,2015,2971,A,58,22,22.6886247,0.465517241,8,9.041,-1.173865203,-1.041108927,80,17.55218861,9,9.226282174,-0.226282174,18.2673911,0.155881188,0.115328527,-0.017950154,-0.002828527,NYRB,2971,A,1.874116459,0.71087176,0.258498822,0.292139501,-0.037930347,-0.033640679,2.584988219,0.290811175,0.298122884,-0.007311709,0.590262385,1875,1832,Kljestan 2015
Chris,Wondolowski,Chris Wondolowski,SJE,2015,2842,F,91,38,15.77347304,0.274725275,16,15.916,0.714250532,0.083882508,19,20.60218498,2,2.302901783,-0.302901783,18.21901928,0.17490239,0.121205357,0.000921786,-0.015942199,SJE,2842,F,3.073891626,1.283603096,0.540464462,0.537630992,0.024126689,0.00283347,0.641801548,0.067558058,0.077789786,-0.010231728,0.615420778,1954,1945,Wondolowski 2015
Dominic,Dwyer,Dominic Dwyer,SKC,2016,2996,F,118,44,18.2144013,0.194915254,16,15.75,1.190274094,0.249633213,21,19.18631328,2,2.437772222,-0.437772222,18.18813901,0.133477685,0.116084392,0.002115536,-0.020846296,SKC,2996,F,3.781041389,1.40987984,0.512683578,0.50468465,0.038139624,0.007998928,0.672897196,0.064085447,0.078112862,-0.014027414,0.582797512,1951,1942,Dwyer 2016
Nicolas,Lodeiro,Nicolas Lodeiro,SEA,2017,3111,A,67,19,24.07990899,0.417910448,7,6.91,-1.017211011,0.090178805,93,16.48483861,9,11.25731318,-2.257313181,18.16713438,0.10313166,0.121046378,0.001345952,-0.024272185,SEA,3111,A,2.067502411,0.586306654,0.216007715,0.213224955,-0.031389347,0.00278276,2.869816779,0.277724204,0.347380927,-0.069656723,0.560605882,1817,1778,Lodeiro 2017
C.J.,Sapong,C.J. Sapong,PHI,2017,2964,F,67,33,13.3415848,0.223880597,16,14.817,1.251916543,1.183187541,30,21.57097365,4,3.241096882,0.758903118,18.05790934,0.221146455,0.108036563,0.017659516,0.025296771,PHI,2964,F,2.170040486,1.068825911,0.518218623,0.47989676,0.040547904,0.038321864,0.971659919,0.129554656,0.104974798,0.024579858,0.584871558,1942,1940,Sapong 2017
Ignacio,Piatti,Ignacio Piatti,MTL,2016,2976,A,95,42,21.38094967,0.231578947,17,11.341,1.84846197,5.659378516,60,20.08777597,4,6.438446302,-2.438446302,17.77906779,0.119374963,0.107307438,0.059572405,-0.040640772,MTL,2976,A,3.064516129,1.35483871,0.548387097,0.365826499,0.059627805,0.182560597,1.935483871,0.129032258,0.207691816,-0.078659558,0.573518316,1914,1948,Piatti 2016
Chris,Wondolowski,Chris Wondolowski,SJE,2016,2851,F,78,31,14.40661844,0.243589744,12,15.23,-2.06054027,-3.229725976,22,19.62298116,3,2.494132929,0.505867071,17.7238589,0.195252897,0.113369679,-0.041406743,0.022993958,SJE,2851,F,2.626446861,1.043844265,0.404068748,0.512821359,-0.069383327,-0.108752611,0.740792704,0.101017187,0.083983431,0.017033756,0.596804789,1946,1911,Wondolowski 2016
Kei,Kamara,Kei Kamara,"CLB, NER",2016,2803,F,106,34,16.767287,0.188679245,12,13.948,-2.095359502,-1.948393766,28,19.36694896,2,3.772628272,-1.772628272,17.72102204,0.13158862,0.134736724,-0.018381073,-0.063308153,"CLB, NER",2803,F,3.630396004,1.164466643,0.410988227,0.477718802,-0.071764007,-0.066730575,0.958972529,0.068498038,0.129208817,-0.060710779,0.606927619,1938,1915,Kamara 2016
Jordan,Morris,Jordan Morris,SEA,2016,2975,F,71,34,15.98886472,0.14084507,12,12.944,-2.799412436,-0.944228408,31,19.28249835,3,4.486439203,-1.486439203,17.43066761,0.182313076,0.144723845,-0.013298992,-0.047949652,SEA,2975,F,2.291092437,1.097142857,0.387226891,0.41769611,-0.090333981,-0.030469219,1.000336134,0.096806723,0.144772492,-0.047965769,0.562468602,1933,1907,Morris 2016
David,Villa,David Villa,NYC,2018,1835,F,99,42,19.54039107,0.262626263,14,11.095,1.50409843,2.904697299,44,17.99343467,5,6.267589068,-1.267589068,17.36289177,0.112073765,0.142445206,0.029340377,-0.028808842,NYC,1835,F,5.179291553,2.197275204,0.732425068,0.580462703,0.078688528,0.151962365,2.301907357,0.261580381,0.327895668,-0.066315286,0.908358371,1911,1932,Villa 2018
Chris,Wondolowski,Chris Wondolowski,SJE,2017,3188,F,78,28,16.19234649,0.179487179,13,11.328,1.381527821,1.671800962,39,18.79997799,8,5.969309024,2.030690976,17.29750806,0.145233321,0.153059206,0.021433346,0.052068999,SJE,3188,F,2.34880803,0.843161857,0.391468005,0.341125191,0.041601842,0.050342814,1.174404015,0.240903388,0.179753346,0.061150042,0.520878536,1913,1920,Wondolowski 2017
Robbie,Keane,Robbie Keane,LAG,2015,2172,F,73,38,18.30859158,0.164383562,20,12.482,4.884197152,7.518224659,30,17.44516435,7,4.596396963,2.403603037,17.0781723,0.170983224,0.153213232,0.102989379,0.080120101,LAG,2172,F,3.226519337,1.679558011,0.883977901,0.551680678,0.215876117,0.332297223,1.325966851,0.309392265,0.203155667,0.106236598,0.754836345,1931,1960,Keane 2015
Kei,Kamara,Kei Kamara,VAN,2018,2334,F,88,32,14.81689431,0.113636364,14,13.888,-1.394398893,0.112182963,32,22.54763779,5,3.171431996,1.828568004,17.05924903,0.157816103,0.09910725,0.001274806,0.05714275,VAN,2334,F,3.619537275,1.316195373,0.575835476,0.571221266,-0.057353168,0.004614209,1.316195373,0.205655527,0.130444504,0.075211023,0.70166577,1937,1936,Kamara 2018
Fanendo,Adi,Fanendo Adi,POR,2015,2266,F,85,36,16.1043768,0.188235294,16,14.054,1.200624275,1.946321745,40,24.48344779,2,2.999401629,-0.999401629,17.05307988,0.165337391,0.074985041,0.022897903,-0.024985041,POR,2266,F,3.601059135,1.525154457,0.677846425,0.595389723,0.05086493,0.082456702,1.694616064,0.084730803,0.127070855,-0.042340051,0.722460578,1939,1944,Adi 2015
Romain,Alessandrini,Romain Alessandrini,LAG,2017,2574,A,96,41,25.21794795,0.21875,13,8.453,1.026606716,4.547316771,70,13.54997107,11,8.229827733,2.770172267,16.68251096,0.088048784,0.117568968,0.047367883,0.03957389,LAG,2574,A,3.58041958,1.529137529,0.484848485,0.315251589,0.038288362,0.169596896,2.610722611,0.41025641,0.306939962,0.103316448,0.622191551,1862,1922,Alessandrini 2017
Sebastian,Blanco,Sebastian Blanco,POR,2018,2736,A,81,31,21.52147662,0.209876543,10,7.275,-0.150195364,2.724769258,61,19.31125086,8,9.403293983,-1.403293983,16.67852472,0.089817663,0.15415236,0.033639127,-0.023004819,POR,2736,A,2.842105263,1.087719298,0.350877193,0.255271254,-0.005270013,0.095605939,2.140350877,0.280701754,0.32994014,-0.049238385,0.585211394,1827,1879,Blanco 2018
Nemanja,Nikolic,Nemanja Nikolic,CHI,2018,2561,F,53,27,14.36261403,0.245283019,15,14.066,0.268178067,0.934148186,22,19.63313567,1,2.605558459,-1.605558459,16.67141027,0.26539343,0.118434475,0.017625437,-0.07297993,CHI,2561,F,1.986723936,1.012104647,0.562280359,0.527263481,0.010052751,0.035016878,0.82467786,0.037485357,0.09767029,-0.060184932,0.62493377,1940,1938,Nikolic 2018
Jozy,Altidore,Jozy Altidore,TOR,2017,2271,F,68,30,16.77163236,0.191176471,15,12.277,1.653169604,2.723304543,37,20.85410134,6,4.369505821,1.630494179,16.64620128,0.180539639,0.118094752,0.040048596,0.04406741,TOR,2271,F,2.874504624,1.268163804,0.634081902,0.518962027,0.069882995,0.115119875,1.564068692,0.253632761,0.184708304,0.068924457,0.703670331,1928,1939,Altidore 2017
Erick,Torres,Erick Torres,HOU,2017,2111,F,72,26,18.65285272,0.347222222,14,13.579,-1.236529956,0.421416537,40,22.54075885,3,3.063675026,-0.063675026,16.64225849,0.188591437,0.076591876,0.005853007,-0.001591876,HOU,2111,F,3.274277594,1.18237802,0.636665088,0.617500716,-0.056232532,0.019164371,1.819043108,0.136428233,0.139323924,-0.00289569,0.75682464,1935,1930,Torres 2017
Diego,Fagundez,Diego Fagundez,NER,2018,2810,A,68,30,22.17829295,0.279411765,9,8.111,0.589430601,0.88942231,91,17.89806516,8,8.521263185,-0.521263185,16.63184087,0.119273201,0.093640255,0.01307974,-0.005728167,NER,2810,A,2.323131673,1.024911032,0.30747331,0.277087352,0.020137131,0.030385958,3.108896797,0.273309609,0.291117888,-0.01780828,0.56820524,1848,1843,Fagundez 2018
Maximiliano,Urruti,Maximiliano Urruti,FCD,2018,2935,A,117,34,21.49329059,0.230769231,8,12.132,-1.24294726,-4.131793177,41,19.48246443,7,4.411313199,2.588686801,16.54310638,0.10369054,0.107593005,-0.035314472,0.063138702,FCD,2935,A,3.826916525,1.1120954,0.261669506,0.396815041,-0.040655174,-0.135145535,1.341056218,0.228960818,0.144288268,0.08467255,0.541103309,1927,1828,Urruti 2018
Dominic,Dwyer,Dominic Dwyer,SKC,2015,2691,F,96,37,15.67498629,0.125,12,14.906,-0.87495342,-2.906199488,19,26.42160316,0,1.62783357,-1.62783357,16.53403306,0.155272911,0.085675451,-0.030272911,-0.085675451,SKC,2691,F,3.424749164,1.319955407,0.428093645,0.531770773,-0.0312135,-0.103677128,0.677814939,0,0.058072101,-0.058072101,0.589842874,1944,1901,Dwyer 2015
Nicolas,Lodeiro,Nicolas Lodeiro,SEA,2018,2592,A,57,17,26.25861885,0.421052632,8,7.214,-1.247870634,0.786407952,97,16.68901331,12,9.310662457,2.689337543,16.5242545,0.126554246,0.095986211,0.013796631,0.027725129,SEA,2592,A,2.111111111,0.62962963,0.296296296,0.267170076,-0.046217431,0.02912622,3.592592593,0.444444444,0.34483935,0.099605094,0.612009426,1823,1825,Lodeiro 2018
Romell,Quioto,Romell Quioto,HOU,2018,2386,A,82,30,23.70373756,0.268292683,6,7.75,-1.865948494,-1.749971554,47,12.55126769,9,8.759965353,0.240034647,16.50993691,0.094511848,0.186382242,-0.021341117,0.00510712,HOU,2386,A,3.299245599,1.207041073,0.241408215,0.311817799,-0.075075882,-0.070409585,1.891031014,0.362112322,0.352454599,0.009657723,0.664272399,1842,1769,Quioto 2018
Benny,Feilhaber,Benny Feilhaber,SKC,2015,2882,M,48,17,24.75667076,0.354166667,10,6.282,0.9307733,3.718142314,70,18.66668005,11,9.962019058,1.037980942,16.24387674,0.130872035,0.142314558,0.077461298,0.014828299,SKC,2882,M,1.59888966,0.566273421,0.333102012,0.209249944,0.031004246,0.123852069,2.331714087,0.366412214,0.33183686,0.034575354,0.541086803,1779,1877,Feilhaber 2015
Johnny,Russell,Johnny Russell,SKC,2018,2327,F,71,29,18.651261,0.225352113,10,8.977,0.613535739,1.022812723,56,16.15366688,7,7.21873361,-0.21873361,16.19592089,0.126439257,0.128905957,0.014405813,-0.003905957,SKC,2327,F,2.929093253,1.196390202,0.412548346,0.370352376,0.025311315,0.04219597,2.310270735,0.288783842,0.297807661,-0.009023819,0.668160037,1874,1884,Russell 2018
Lee,Nguyen,Lee Nguyen,NER,2017,2656,A,49,23,21.75505258,0.285714286,11,8.121,1.314235643,2.878820018,87,17.46972252,9,8.048846993,0.951153007,16.17002698,0.165738367,0.092515483,0.058751429,0.010932793,NER,2656,A,1.771084337,0.831325301,0.397590361,0.293536626,0.047502493,0.104053736,3.144578313,0.325301205,0.29092218,0.034379024,0.584458806,1849,1890,Nguyen 2017
Mauro,Manotas,Mauro Manotas,HOU,2017,2200,F,71,35,18.45382547,0.098591549,10,12.059,-0.15299945,-2.059324387,35,21.83405873,5,3.988600411,1.011399589,16.0479248,0.169849639,0.113960012,-0.029004569,0.028897131,HOU,2200,F,3.098181818,1.527272727,0.436363636,0.526225064,-0.00667634,-0.089861428,1.527272727,0.218181818,0.174048018,0.0441338,0.700273082,1925,1883,Manotas 2017
Michael,Barrios,Michael Barrios,FCD,2018,2688,A,58,28,19.11567476,0.224137931,6,5.999,-0.634451448,0.001225246,68,19.8390393,5,9.950575967,-4.950575967,15.94935072,0.103427151,0.146332,2.11E-05,-0.072802588,FCD,2688,A,2.071428571,1,0.214285714,0.214241955,-0.02265898,4.38E-05,2.428571429,0.178571429,0.355377713,-0.176806285,0.569619669,1764,1764,Barrios 2018
Wayne,Rooney,Wayne Rooney,DCU,2018,1750,F,71,31,21.38830369,0.422535211,12,11.533,-0.772283448,0.466501165,40,17.5685301,6,4.115991623,1.884008377,15.64949046,0.162443646,0.102899791,0.006570439,0.047100209,DCU,1750,F,3.894857143,1.700571429,0.658285714,0.632694793,-0.042365263,0.025590921,2.194285714,0.329142857,0.22579154,0.103351317,0.858486334,1918,1903,Rooney 2018
Sebastian,Giovinco,Sebastian Giovinco,TOR,2017,2162,F,126,51,25.56699025,0.404761905,16,12.06,3.060512057,3.939808348,31,18.14134052,6,3.588718344,2.411281656,15.64891,0.095715807,0.115765108,0.03126832,0.077783279,TOR,2162,F,5.594819611,2.264569843,0.710453284,0.535512673,0.135896928,0.174940611,1.376503238,0.266419981,0.159351046,0.107068936,0.694863719,1926,1941,Giovinco 2017
Diego,Rossi,Diego Rossi,LAFC,2018,2765,F,89,39,18.42224165,0.179775281,12,10.827,0.153405785,1.172581408,41,18.65626236,6,4.717888708,1.282111292,15.5453073,0.121656389,0.115070456,0.013175072,0.031271007,LAFC,2765,F,3.09005425,1.354068716,0.416636528,0.375924841,0.005326204,0.040711687,1.423508137,0.208318264,0.163803731,0.044514533,0.539728572,1908,1910,Rossi 2018
